movieId,nameMovie,guionistas,subjects,directores,actores,genres
32515,Walker (1987),Rudy Wurlitzer,,Alex Cox,Keith Szarabajka| Rene Auberjonois| Ed Harris| Richard Masur,
193321,Pledges (2018),Bryan Binder| Austin Reading,,D.J. Red,Natassia Halabi| Tim Drier| Everett| Arthur J. Davis,
152519,Zero to Sixty (1978),Judith Bustany| Peg Shirley,,Don Weis,Sylvia Miles| Denise Nickerson| Joan Collins| Darren McGavin,
26585,Better Tomorrow| A (Ying hung boon sik) (1986),Hing-Ka Chan| Suk-Wah Leung,,John Woo,Lung Ti| Leslie Cheung| Emily Chu| Chow Yun-Fat,
109207,Super Inframan| The (Zhong guo chao ren) (1975),Kuang Ni,,Shan Hua,Terry Liu| Danny Lee| Man-Tzu Yuan| Hsieh Wang,
117895,Maze Runner: Scorch Trials (2015),James Dashner| T.S. Nowlin,,Wes Ball,"Thomas Brodie-Sangster| ""Dylan OBrien""| Giancarlo Esposito| Kaya Scodelario",
159924,Shaolin Prince (1982),Jing Wong,,Chia Tang,Feng Ku| Lung Ti| Tung-Shing Yee| Jason Piao Pai,
180291,Journey to the West: The Demons Strike Back (2017),Si-Cheun Lee| Stephen Chow| Jia Jia Wei,,Hark Tsui,Kris Wu| Yun Lin| Chen Yao| Kenny Lin,
6149,Final Option| The (Who Dares Wins) (1982),Reginald Rose| George Markstein| James Follett,,Ian Sharp,Edward Woodward| Judy Davis| Lewis Collins| Richard Widmark,
150750,The Chain (1984),Jack Rosenthal,,Jack Gold,David Troughton| Denis Lawson| Phyllis Logan| Rita Wolf,
181769,Donalds Vacation (1940),Jack Hannah| Frank Tashlin| Carl Barks,,Jack King,Clarence Nash| James MacDonald,
140347,The Hunley (1999),John Fasano,,John Gray,Armand Assante| Chris Bauer| Donald Sutherland| Alex Jennings,
1004,Glimmer Man| The (1996),Kevin Brodbin,1996_films|American_buddy_cop_films|American_buddy_films|American_police_detective_films|American_serial_killer_films|Films_scored_by_Trevor_Rabin|Films_shot_in_California|American_action_thriller_films|American_films|English-language_films|Films_set_in_Los_Angeles|1990s_buddy_cop_films|1990s_serial_killer_films|Fictional_portrayals_of_the_Los_Angeles_Police_Department|Films_directed_by_John_Gray_(director)|1996_action_thriller_films,John_Gray_(director),Keenen_Ivory_Wayans|Brian_Cox_(actor)|Bob_Gunton|Steven_Seagal|Michelle_Johnson_(actress),Action|Thriller
3063,Poison Ivy (1992),Melissa Goddard| Andy Ruben,New_Line_Cinema_films|Juvenile_sexuality_in_films|1990s_erotic_drama_films|1990s_erotic_thriller_films|1992_drama_films|1992_films|Adultery_in_films|American_neo-noir_films|Films_shot_in_Los_Angeles|American_films|American_independent_films|American_thriller_drama_films|Films_set_in_Los_Angeles|American_erotic_drama_films|American_erotic_thriller_films|American_teen_drama_films|1990s_teen_drama_films|1990s_thriller_drama_films|1992_independent_films|Films_directed_by_Katt_Shea|Teen_thriller_films,Katt Shea,Sara Gilbert| Cheryl Ladd| Tom Skerritt| Drew Barrymore,Drama|Thriller
191471,The Singles Ward (2002),Eric Player| John E. Moyer,,Kurt Hale,Kirby Heyborne| Connie Young| Daryn Tufts| Will Swenson,
170645,The Zookeepers Wife (2017),Angela Workman| Diane Ackerman,,Niki Caro,Timothy Radford| Jessica Chastain| Johan Heldenbergh| Daniel Brühl,
25767,Man Who Laughs| The (1928),Marion Ward| Victor Hugo| May McLean| J. Grubb Alexander| Walter Anthony,,Paul Leni,Conrad Veidt| Mary Philbin| Julius Molnar| Olga Baclanova,
101112,Oz the Great and Powerful (2013),David Lindsay-Abaire| Mitchell Kapner| L. Frank Baum,,Sam Raimi,Mila Kunis| Rachel Weisz| Michelle Williams| James Franco,
177063,Devil in the Dark (2017),Carey Dickson,,Tim Brown,Daniel Cudmore| Robin Dunne| Briana Buckmaster| Dan Payne,
3112,night Mother (1986),Marsha Norman,1986_drama_films|1986_films|American_drama_films|American_films|American_films_based_on_plays|English-language_films|Films_about_conversations|Films_about_suicide|Films_directed_by_Tom_Moore|Films_scored_by_David_Shire|Universal_Pictures_films,Tom_Moore_(director),Sissy Spacek| Ed Berke| Anne Bancroft| Carol Robbins,Drama
113103,Step Up All In (2014),John Swetnam| Duane Adler,,Trish Sie,Briana Evigan| Misha Gabriel Hamilton| Adam Sevani| Ryan Guzman,
148626,Big Short| The (2015),Charles Randolph| Michael Lewis,,Adam McKay,Ryan Gosling| Christian Bale| Brad Pitt| Steve Carell,
138532,Ghost of Goodnight Lane (2014),Amy Acosta,,Alin Bijan,Danielle Harris| Billy Zane| Matt Dallas| Lacey Chabert,
105330,Public Eye| The (Follow Me!) (1972),Peter Shaffer,,Carol Reed,Mia Farrow| Michael Jayston| Margaret Rawlings| Topol,
130744,Nana| the True Key of Pleasure (1983),Émile Zola| Marc Behm,,Dan Wolman,Katya Berger| Jean-Pierre Aumont| Yehuda Efroni| Mandy Rice-Davies,
84834,Three Kingdoms: Resurrection of the Dragon (Saam gwok dzi gin lung se gap) (2008),Guanzhong Luo| Ho-Leung Lau,,Daniel Lee,Cunxin Pu| Sammo Kam-Bo Hung| Andy Lau| Maggie Q,
3330,Splendor in the Grass (1961),William Inge,NBC_network_original_films|1981_films|American_drama_films|American_film_remakes|American_films|American_television_films|1981_drama_films|1981_television_films|Films_scored_by_John_Morris,Richard_C._Sarafian,Warren Beatty| Natalie Wood| Pat Hingle| Audrey Christie,Drama|Romance
59954,Three Musketeers| The (1921),Edward Knoblock| Douglas Fairbanks| Alexandre Dumas| Lotta Woods,,Fred Niblo,Thomas Holding| Adolphe Menjou| Mary MacLaren| Nigel De Brulier,
32999,Wilson (1944),Lamar Trotti,,Henry King,Thomas Mitchell| Alexander Knox| Geraldine Fitzgerald| Charles Coburn,
112118,Bikini Spring Break (Revenge of the Nerds Bikini Spring Break) (2012),Naomi L. Selfman,,Jared Cohn,Rachel Alig| Virginia Petrucci| Robert Carradine| Samantha Stewart,
4676,Troop Beverly Hills (1989),Pamela Norris| Ava Ostern Fries| Margaret Oberman,,Jeff Kanew,Shelley Long| Craig T. Nelson| Mary Gross| Betty Thomas,
26763,Barbarian Queen II: The Empress Strikes Back (1990),Lance Smith| Howard R. Cohen,,Joe Finley,Greg Wrangler| Elizabeth A. Jaeger| Lana Clarkson| Rebecca Wood,
77910,American Gothic (1988),Michael Vines| Burt Wetanson,,John Hough,Sarah Torgov| Caroline Barclay| Terence Kelly| Mark Erickson,
110451,Quiet Ones| The (2014),Craig Rosenberg| Oren Moverman| Tom de Ville,,John Pogue,Jared Harris| Sam Claflin| Erin Richards| Olivia Cooke,
65300,Jack Brooks: Monster Slayer (2007),John Ainslie| Patrick White,,Jon Knautz,Robert Englund| Daniel Kash| David Fox| Trevor Matthews,
41575,Promise| The (Wu ji) (2005),Tan Cheung,,Kaige Chen,Cecilia Cheung| Nicholas Tse| Hiroyuki Sanada| Jang Dong-Gun,
476,Inkwell| The (1994),Trey Ellis| Paris Qualles,1910s_animated_short_films|1920s_animated_short_films|Rotoscoped_films|Short_film_series|American_animated_short_films|Animated_film_series|1918_films|American_black-and-white_films|American_films|American_silent_short_films|Articles_containing_video_clips|Comedy_films_about_clowns|Film_series_introduced_in_1918|Fleischer_Studios_short_films|Bray_Productions_film_series|Mass_media_franchises_introduced_in_1918|Television_series_by_U.M._&_M._TV_Corporation,Dave_Fleischer|Max_Fleischer,Suzzanne Douglas| Joe Morton| Glynn Turman| Larenz Tate,Comedy|Drama
192065,M. Kumaran S/O Mahalakshmi (2004),Viji,,Mohan Raja,Vivek| Nadia Moidu| Aishwarya| Prakash Raj| Asin Thottumkal| Jayam Ravi,
158294,Sillunu Oru Kaadhal (2006),John Edathattil,,N. Krishna,Jyotika| Suriya| Shriya Sharma| Bhoomika Chawla,
92829,Smokin Aces 2: Assassins Ball (2010),Olatunde Osunsanmi| Olumide Odebunmi| Joe Carnahan| Tom Abrams,,P.J. Pesce,Clayne Crawford| Tom Berenger| Maury Sterling| Tommy Flanagan,
113029,Keeper| The (2004),Gerald Sanford,,Paul Lynch,Dennis Hopper| Asia Argento| Lochlyn Munro| Helen Shaver,
137694,Woman in the Dark (1934),Dashiell Hammett| Marcy Klauber| Sada Cowan| Charles Williams,,Phil Rosen,Ralph Bellamy| Fay Wray| Roscoe Ates| Melvyn Douglas,
105463,Alice Upside Down (Alice) (2007),"Phyllis Reynolds Naylor| Meghan Heritage| ""Declan OBrien""",,Sandy Tung,Penny Marshall| Lucas Grabeel| Alyson Stoner| Luke Perry,
188957,Kurara: The Dazzling Life of Hokusais Daughter (2017),Makate Asai| Mika Ohmori,,Taku Katô,Aoi Miyazaki| Hiroki Miyake| Ryûhei Matsuda| Kimiko Yo,
99238,Turn of the Screw| The (2009),Henry James| Sandy Welch,,Tim Fywell,Josef Lindsay| Eva Sayer| Michelle Dockery| Dan Stevens,
142460,Cut Snake (2015),Blake Ayshford,,Tony Ayres,Sullivan Stapleton| Megan Holloway| Jessica De Gouw| Alex Russell,
5943,Maid in Manhattan (2002),Kevin Wade| John Hughes,,Wayne Wang,Ralph Fiennes| Jennifer Lopez| Stanley Tucci| Natasha Richardson,
1717,Scream 2 (1997),Kevin Williamson,1997_independent_films|1997_thriller_films|American_black_comedy_films|American_mystery_films|American_sequel_films|Dimension_Films_films|Films_set_in_universities_and_colleges|Films_shot_in_Atlanta|American_films|American_independent_films|American_thriller_films|English-language_films|Scream_(film_series)|1990s_mystery_films|1990s_serial_killer_films|1990s_slasher_films|1990s_teen_horror_films|Films_about_fratricide_and_sororicide|Films_directed_by_Wes_Craven|Films_with_screenplays_by_Kevin_Williamson|1997_horror_films|Films_about_fraternities_and_sororities|Films_scored_by_Marco_Beltrami|Films_set_in_1997|Films_set_in_Ohio,Wes Craven,Jamie_Kennedy|David_Arquette|Liev_Schreiber|Courteney_Cox|Jerry_O'Connell|Laurie_Metcalf|Jada_Pinkett_Smith|Neve_Campbell|Sarah_Michelle_Gellar,Comedy|Horror|Mystery|Thriller
98483,Poll Diaries| The (Poll) (2010),Oda Schaefer,,Chris Kraus,Edgar Selge| Jeanette Hain| Paula Beer| Tambet Tuisk,
182295,Prest-O Change-O (1939),Rich Hogan,,Chuck Jones,Mel Blanc,
191779,10½ (2010),Claude Lalonde,,Daniel Grou,Claude Legault| Blaise Tardif| Eugénie Beaudry| Robert Naylor,
