130860, Monaco Forever (1984), C. William Pitt,  , William A. Levey, Daniele Romer| Jean-Claude Van Damme| Nancy Brock| Charles Pitt, 
111815, Once Upon a Time in Shanghai (2014), Jing Wong,  , Ching-Po Wong, Andy On| Luxia Jiang| Philip Ng| Sammo Kam-Bo Hung, 
168162, A Perry Mason Mystery: The Case of the Jealous Jokester (1995), Erle Stanley Gardner| Gerry Conway,  , Vincent McEveety, Barbara Hale| William R. Moses| Tony Roberts| Hal Holbrook, 
71341, Blood Creek (a.k.a. Town Creek) (2009), David Kajganich,  , Joel Schumacher, Dominic Purcell| Emma Booth| Henry Cavill| Michael Fassbender, 
153574, Julietta (2001), Jochen Bitzer| Chris Martin Silber,  , Christoph Stark, Barnaby Metschurat| Matthias Koeberlin| Sibylle Canonica| Lavinia Wilson, 
2351, Nights of Cabiria (Notti di Cabiria| Le) (1957), Pier Paolo Pasolini| Tullio Pinelli| Brunello Rondi| Ennio Flaiano, Films_set_in_Rome|Italian_drama_films|1957_drama_films|1957_films|Films_scored_by_Nino_Rota|Italian-language_films|Italian_black-and-white_films|Italian_films|Paramount_Pictures_films|Best_Foreign_Language_Film_Academy_Award_winners|Films_about_prostitution_in_Italy|Films_directed_by_Federico_Fellini|Films_produced_by_Dino_De_Laurentiis|Films_with_screenplays_by_Federico_Fellini, Federico Fellini, Dorian_Gray_(actress)|François_Périer|Giulietta_Masina|Amedeo_Nazzari|Franca_Marzi, Drama
88327, New One-Armed Swordsman| The (Xin du bi dao) (1971), Kuang Ni,  , Cheh Chang, Feng Ku| Lung Ti| Ching Lee| David Chiang, 
82043, Little Red Flowers (Kan shang qu hen mei) (2006), Dai Ning| Shuo Wang,  , Yuan Zhang, Yuanyuan Ning| Bowen Dong| Manyuan Chen| Zhao Rui, 
2988, Melvin and Howard (1980), Bo Goldman, 1980_drama_films|1980_films|Films_based_on_actual_events|Films_featuring_a_Best_Supporting_Actress_Academy_Award-winning_performance|Films_set_in_California|Films_set_in_Utah|Films_set_in_the_1970s|Films_shot_in_California|Films_shot_in_Utah|American_comedy-drama_films|American_films|English-language_films|Universal_Pictures_films|1980_comedy-drama_films|1980_comedy_films|Films_directed_by_Jonathan_Demme|Films_featuring_a_Best_Supporting_Actress_Golden_Globe-winning_performance|Films_produced_by_Art_Linson|Films_scored_by_Bruce_Langhorne|Films_set_in_Nevada|Films_shot_in_Nevada|Films_whose_writer_won_the_Best_Original_Screenplay_Academy_Award|Films_with_screenplays_by_Bo_Goldman|National_Society_of_Film_Critics_Award_for_Best_Film_winners|Cultural_depictions_of_Howard_Hughes, Jonathan Demme, Paul Le Mat| Mary Steenburgen| Elizabeth Cheshire| Jason Robards, Drama
128001, The Green Van (1983), Aleksandr Kozachinskiy| Igor Shevtsov,  , Aleksandr Pavlovskiy, Aleksandr Demyanenko| Aleksandr Solovyov| Borislav Brondukov| Dmitriy Kharatyan, 
136381, Bisturi| la mafia bianca (1973), Massimo De Rita| Dino Maiuri,  , Luigi Zampa, Senta Berger| Gabriele Ferzetti| Enrico Maria Salerno| Luciano Salce, 
65521, Howling V: The Rebirth (1989), Freddie Rowe| Clive Turner| Gary Brandner,  , Neal Sundstrom, Phil Davis| Victoria Catlin| Elizabeth Shé| Ben Cole, 
164471, Revenge (1971), John Kruse,  , Sidney Hayers, Sinéad Cusack| Ray Barrett| James Booth| Joan Collins, 
59519, Reprise (2006), Eskil Vogt,  , Joachim Trier, Anders Danielsen Lie| Odd-Magnus Williamson| Espen Klouman Høiner| Viktoria Winge, 
122319, Ice Soldiers (2013), Jonathan Tydor,  , Sturla Gunnarsson, Dominic Purcell| Adam Beach| Gabriel Hogan| Michael Ironside, 
120606, Zenobia (1939), Walter DeLeon| H.C. Bunner| Corey Ford| Norm Blackburn| Arnold Belgard,  , Gordon Douglas, Alice Brady| Harry Langdon| Oliver Hardy| Billie Burke, 
5729, Endless Love (1981), Judith Rascoe| Scott Spencer,  , Franco Zeffirelli, Don Murray| Shirley Knight| Brooke Shields| Martin Hewitt, 
127258, The Passerby (1982), Jacques Kirsner| Joseph Kessel,  , Jacques Rouffio, Michel Piccoli| Helmut Griem| Romy Schneider| Dominique Labourier, 
155464, Sweet n Short (1991), Peet Buys| Daan Smuts| Paul Slabolepszy,  , Gray Hofmeyr, Casper de Vries| Alfred Ntombela| Joanna Weinberg| Leon Schuster, 
103982, Frankensteins Army (2013), Mary Shelley| Chris W. Mitchell| Miguel Tejada-Flores,  , Richard Raaphorst, Robert Gwilym| Hon Ping Tang| Alexander Mercury| Luke Newberry, 
138300, Welcome to the North (2012), Fabio Bonifacci,  , Luca Miniero, Alessandro Siani| Valentina Lodovini| Claudio Bisio| Angela Finocchiaro, 
127656, Mr. Kinky (1968), Ruggero Maccari| Ettore Scola,  , Dino Risi, Ann-Margret| Vittorio Gassman| Egidio Casolari| Giuseppe Altamurra, 
7033, Secret of My Succe$s| The (a.k.a. The Secret of My Success) (1987), Jim Cash| AJ Carothers| Jack Epps Jr.,  , Herbert Ross, Margaret Whitton| Helen Slater| Michael J. Fox| Richard Jordan, 
178481, Headwinds (2011), Olivier Adam| Marion Laine| Marie-Pierre Huster,  , Jalil Lespert, Ramzy Bedia| Benoît Magimel| Isabelle Carré| Antoine Duléry, 
98761, Shaolin Temple 2: Kids from Shaolin (Shao Lin xiao zi) (Kids from Shaolin) (1984), Shu-Hua Ho| Chi-Keung Leung,  , Hsin-Yen Chang, Lan Ding| Chunhua Ji| Jet Li| Qiuyan Huang, 
109736, Concepción Arenal| la visitadora de cárceles (2012), Rafa Russo,  , Laura Mañá, Mabel Rivera| Òscar Rabadán| Anna Casas| Blanca Portillo, 
47092, On Dangerous Ground (1952), A.I. Bezzerides| Gerald Butler,  , Nicholas Ray, Robert Ryan| Ida Lupino| Charles Kemper| Ward Bond, 
187477, Night Bus (2017), Rahabi Mandra,  , Emil Heradi, Yayu A.W. Unru| Edward Akbar| T. Rifnu Wikana| Hana Prinantina, 
141156, Alibi Ike (1935), Ring Lardner| William Wister Haines,  , Ray Enright, Ruth Donnelly| Olivia de Havilland| Joe E. Brown| William Frawley| Roscoe Karns, 
96849, Sparkle (2012), Mara Brock Akil| Howard Rosenman| Joel Schumacher,  , Salim Akil, Carmen Ejogo| Derek Luke| Whitney Houston| Jordin Sparks Thomas, 
131590, Hamburger: The Motion Picture (1986), Donald Ross,  , Mike Marvin, Chuck McCann| Randi Brooks| Dick Butkus| Leigh McCloskey, 
86057, Outrageous Class (Hababam sinifi) (1975), Rifat Ilgaz| Umur Bugay,  , Ertem Egilmez, Halit Akçatepe| Kemal Sunal| Münir Özkul| Tarik Akan, 
155908, Public Wedding (1937), Houston Branch| Roy Chanslor,  , Nick Grinde, Jane Wyman| William Hopper| Marie Wilson| Dick Purcell, 
116555, The Disembodied (1957), Jack Townley,  , Walter Grauman, Allison Hayes| Eugenia Paul| Paul Burke| John Wengraf, 
125133, Prairie Fever (2008), Steven H. Berman,  , David S. Cass Sr.| Stephen Bridgewater, Kevin Sorbo| Dominique Swain| Jamie Anne Allman| Lance Henriksen, 
191995, Arasatchi (2004), Gopal Ram,  , N. Maharajan, Raghuvaran| Charan Raj| Lara Dutta| Manivannan, 
116034, Children of the Corn: Genesis (2011), Stephen King,  , Joel Soisson, Kelen Coleman| Diane Peterson| J.J. Banicki| Kai Caster, 
52551, Redline (2007), Daniel Sadek| Robert Foreman,  , Andy Cheng, Angus Macfadyen| Nadia Bjorlin| Nathan Phillips| Eddie Griffin, 
125576, The Secret Partner (1961), Jack Seddon| David Pursall,  , Basil Dearden, Hugh Burden| Stewart Granger| Haya Harareet| Bernard Lee, 
131710, The Bermuda Triangle (1996), Stephen McPherson| Elizabeth Bradley,  , Ian Toynton, David Gallagher| Lisa Jakub| Susanna Thompson| Sam Behrens, 
72927, Donkey Xote (2007), Angel E. Pariente| Miguel de Cervantes y Saavedra,  , Jose Pozo, Andreu Buenafuente| José Luis Gil| David Fernández| Luis Posada, 
103498, Double Solitaire (1974), Robert Anderson,  , Paul Bogart, Norman Foster| Richard Crenna| Nicholas Hammond| Susan Clark| Harold Gould| Norma Crane, 
4549, Sweet Hearts Dance (1988), Ernest Thompson,  , Robert Greenwald, Don Johnson| Jeff Daniels| Susan Sarandon| Elizabeth Perkins, 
149564, Tom Browns School Days (1940), Walter Ferris| Frank Cavett| Thomas Hughes| C. Graham Baker| Gene Towne,  , Robert Stevenson, Cedric Hardwicke| Freddie Bartholomew| Josephine Hutchinson| Jimmy Lydon, 
130982, Widows (2011), Bernarda Pagés,  , Marcos Carnevale, Valeria Bertuccelli| Graciela Borges| Martín Bossi| Rita Cortese, 
142618, Flying Colors (2015), Hiroshi Hashimoto| Nobutaka Tsubota,  , Nobuhiro Doi, Atsushi Itô| Morio Agata| Kasumi Arimura| Nanami Abe, 
173695, Succubus (1968), Pier A. Caminnecci,  , Jesús Franco, Howard Vernon| Adrian Hoven| Jack Taylor| Janine Reynaud, 
26547, Police Story (Ging chaat goo si) (1985), Edward Tang,  , Chi-Hwa Chen, Brigitte Lin| Yuen Chor| Jackie Chan| Maggie Cheung, 
8667, A Home at the End of the World (2004), Michael Cunningham,  , Michael Mayer, Sissy Spacek| Colin Farrell| Robin Wright| Dallas Roberts, 
112259, Norman... Is That You? (1976), Sam Bobrick| Ron Clark,  , George Schlatter, Pearl Bailey| Michael Warren| Redd Foxx| Dennis Dugan, 
