"COLUMN_NAME"	"DATA_TYPE"
"ID"	"NUMBER"
"POKEDEX_NUMBER"	"NUMBER"
"NAME"	"VARCHAR2"
"JAPANESE_NAME"	"VARCHAR2"
"GENERATION"	"NUMBER"
"STATUS"	"VARCHAR2"
"SPECIES"	"VARCHAR2"
"TYPE_NUMBER"	"NUMBER"
"TYPE_1"	"VARCHAR2"
"TYPE_2"	"VARCHAR2"
"HEIGHT_M"	"NUMBER"
"WEIGHT_KG"	"NUMBER"
"ABILITIES_NUMBER"	"NUMBER"
"ABILITY_1"	"VARCHAR2"
"ABILITY_2"	"VARCHAR2"
"ABILITY_HIDDEN"	"VARCHAR2"
"TOTAL_POINTS"	"NUMBER"
"HP"	"NUMBER"
"ATTACK"	"NUMBER"
"DEFENSE"	"NUMBER"
"SP_ATTACK"	"NUMBER"
"SP_DEFENSE"	"NUMBER"
"SPEED"	"NUMBER"
"CATCH_RATE"	"NUMBER"
"BASE_FRIENDSHIP"	"NUMBER"
"BASE_EXPERIENCE"	"NUMBER"
"GROWTH_RATE"	"VARCHAR2"
"EGG_TYPE_NUMBER"	"NUMBER"
"EGG_TYPE_1"	"VARCHAR2"
"EGG_TYPE_2"	"VARCHAR2"
"PERCENTAGE_MALE"	"NUMBER"
"EGG_CYCLES"	"NUMBER"
"AGAINST_NORMAL"	"NUMBER"
"AGAINST_FIRE"	"NUMBER"
"AGAINST_WATER"	"NUMBER"
"AGAINST_ELECTRIC"	"NUMBER"
"AGAINST_GRASS"	"NUMBER"
"AGAINST_ICE"	"NUMBER"
"AGAINST_FIGHT"	"NUMBER"
"AGAINST_POISON"	"NUMBER"
"AGAINST_GROUND"	"NUMBER"
"AGAINST_FLYING"	"NUMBER"
"AGAINST_PSYCHIC"	"NUMBER"
"AGAINST_BUG"	"NUMBER"
"AGAINST_ROCK"	"NUMBER"
"AGAINST_GHOST"	"NUMBER"
"AGAINST_DRAGON"	"NUMBER"
"AGAINST_DARK"	"NUMBER"
"AGAINST_STEEL"	"NUMBER"
"AGAINST_FAIRY"	"NUMBER"
